#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq
GCA_000302455.1	PRJNA169610	SAMN02471940	AMPO00000000.1	representative genome	1204725	2162	Methanobacterium formicicum DSM 3637	strain=DSM 3637		latest	Contig	Major	Full	2012/10/02	ASM30245v1	Deparment of Genetics, University of Seville, Spain	GCF_000302455.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/302/455/GCA_000302455.1_ASM30245v1	
GCA_000762265.1	PRJNA49593	SAMN03085433		representative genome	2162	2162	Methanobacterium formicicum	strain=BRM9		latest	Complete Genome	Major	Full	2014/10/02	ASM76226v1	PGgRc	GCF_000762265.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/762/265/GCA_000762265.1_ASM76226v1	
GCA_000953115.1	PRJEB7090	SAMEA2724982		na	2162	2162	Methanobacterium formicicum			latest	Complete Genome	Major	Full	2014/09/10	DSM1535	CEBITEC	GCF_000953115.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/953/115/GCA_000953115.1_DSM1535	
GCA_001316325.1	PRJDB899	SAMD00016804	BBES00000000.1	na	1300163	2162	Methanobacterium formicicum JCM 10132	strain=JCM 10132		latest	Contig	Major	Full	2015/10/01	ASM131632v1	The University of Tokyo	GCF_001316325.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/316/325/GCA_001316325.1_ASM131632v1	many frameshifted proteins
GCA_001458655.1	PRJEB7298	SAMEA2779801		na	2162	2162	Methanobacterium formicicum		Mb9	latest	Complete Genome	Major	Full	2015/11/16	Mb9	CEBITEC	GCF_001458655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/458/655/GCA_001458655.1_Mb9	
GCA_000016525.1	PRJNA18653	SAMN02604313		representative genome	420247	2173	Methanobrevibacter smithii ATCC 35061	strain=ATCC 35061; PS; DSMZ 861		latest	Complete Genome	Major	Full	2007/06/04	ASM1652v1	Washington University Center for Genome Sciences	GCF_000016525.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/525/GCA_000016525.1_ASM1652v1	
GCA_000151225.1	PRJNA29303	SAMN00008834	ABYV00000000.2	na	521002	2173	Methanobrevibacter smithii DSM 2374	strain=DSM 2374		latest	Scaffold	Major	Full	2009/10/06	ASM15122v1	WUGSC	GCF_000151225.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/151/225/GCA_000151225.1_ASM15122v1	
GCA_000151245.1	PRJNA27821	SAMN00008835	ABYW00000000.1	na	483214	2173	Methanobrevibacter smithii DSM 2375	strain=DSM 2375		latest	Scaffold	Major	Full	2008/11/13	ASM15124v1	Washington University Genome Sequencing Center	GCF_000151245.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/151/245/GCA_000151245.1_ASM15124v1	
GCA_000189795.2	PRJNA59547	SAMN02436678	AEKU00000000.1	na	911116	2173	Methanobrevibacter smithii TS145A	strain=TS145A		latest	Contig	Major	Full	2011/02/17	ASM18979v2	Washington University in St.Louis	GCF_000189795.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/189/795/GCA_000189795.2_ASM18979v2	
GCA_000189815.2	PRJNA59641	SAMN02436664	AELL00000000.1	na	911117	2173	Methanobrevibacter smithii TS145B	strain=TS145B		latest	Contig	Major	Full	2011/02/17	ASM18981v2	Washington University in St.Louis	GCF_000189815.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/189/815/GCA_000189815.2_ASM18981v2	
GCA_000189835.2	PRJNA59643	SAMN02436679	AELM00000000.1	na	911118	2173	Methanobrevibacter smithii TS146A	strain=TS146A		latest	Contig	Major	Full	2011/02/17	ASM18983v2	Washington University in St.Louis	GCF_000189835.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/189/835/GCA_000189835.2_ASM18983v2	
GCA_000189855.2	PRJNA59645	SAMN02436665	AELN00000000.1	na	911119	2173	Methanobrevibacter smithii TS146B	strain=TS146B		latest	Contig	Major	Full	2011/02/17	ASM18985v2	Washington University in St.Louis	GCF_000189855.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/189/855/GCA_000189855.2_ASM18985v2	
GCA_000189875.2	PRJNA59649	SAMN02436682	AELO00000000.1	na	911120	2173	Methanobrevibacter smithii TS146C	strain=TS146C		latest	Contig	Major	Full	2011/02/17	ASM18987v2	Washington University in St.Louis	GCF_000189875.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/189/875/GCA_000189875.2_ASM18987v2	
GCA_000189895.2	PRJNA59655	SAMN02436666	AELP00000000.1	na	911121	2173	Methanobrevibacter smithii TS146D	strain=TS146D		latest	Contig	Major	Full	2011/02/17	ASM18989v2	Washington University in St.Louis	GCF_000189895.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/189/895/GCA_000189895.2_ASM18989v2	
GCA_000189915.2	PRJNA59659	SAMN02436683	AELQ00000000.1	na	911122	2173	Methanobrevibacter smithii TS146E	strain=TS146E		latest	Contig	Major	Full	2011/02/17	ASM18991v2	Washington University in St.Louis	GCF_000189915.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/189/915/GCA_000189915.2_ASM18991v2	
GCA_000189935.2	PRJNA59663	SAMN02436667	AELR00000000.1	na	911123	2173	Methanobrevibacter smithii TS147A	strain=TS147A		latest	Contig	Major	Full	2011/02/17	ASM18993v2	Washington University in St.Louis	GCF_000189935.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/189/935/GCA_000189935.2_ASM18993v2	
GCA_000189955.2	PRJNA59665	SAMN02436668	AELS00000000.1	na	911124	2173	Methanobrevibacter smithii TS147B	strain=TS147B		latest	Contig	Major	Full	2011/02/17	ASM18995v2	Washington University in St.Louis	GCF_000189955.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/189/955/GCA_000189955.2_ASM18995v2	
GCA_000189975.2	PRJNA59667	SAMN02436673	AELT00000000.1	na	911125	2173	Methanobrevibacter smithii TS147C	strain=TS147C		latest	Contig	Major	Full	2011/02/17	ASM18997v2	Washington University in St.Louis	GCF_000189975.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/189/975/GCA_000189975.2_ASM18997v2	
GCA_000189995.2	PRJNA59669	SAMN02436680	AELU00000000.1	na	911126	2173	Methanobrevibacter smithii TS94A	strain=TS94A		latest	Contig	Major	Full	2011/02/17	ASM18999v2	Washington University in St.Louis	GCF_000189995.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/189/995/GCA_000189995.2_ASM18999v2	
GCA_000190015.2	PRJNA59671	SAMN02436674	AELV00000000.1	na	911127	2173	Methanobrevibacter smithii TS94B	strain=TS94B		latest	Contig	Major	Full	2011/02/17	ASM19001v2	Washington University in St.Louis	GCF_000190015.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/190/015/GCA_000190015.2_ASM19001v2	
GCA_000190035.2	PRJNA59693	SAMN02436675	AELW00000000.1	na	911128	2173	Methanobrevibacter smithii TS94C	strain=TS94C		latest	Contig	Major	Full	2011/02/17	ASM19003v2	Washington University in St.Louis	GCF_000190035.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/190/035/GCA_000190035.2_ASM19003v2	
GCA_000190055.2	PRJNA59675	SAMN02436676	AELX00000000.1	na	911129	2173	Methanobrevibacter smithii TS95A	strain=TS95A		latest	Contig	Major	Full	2011/02/17	ASM19005v2	Washington University in St.Louis	GCF_000190055.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/190/055/GCA_000190055.2_ASM19005v2	
GCA_000190075.2	PRJNA59677	SAMN02436677	AELY00000000.1	na	911130	2173	Methanobrevibacter smithii TS95B	strain=TS95B		latest	Contig	Major	Full	2011/02/17	ASM19007v2	Washington University in St.Louis	GCF_000190075.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/190/075/GCA_000190075.2_ASM19007v2	
GCA_000190095.2	PRJNA59679	SAMN02436669	AELZ00000000.1	na	911131	2173	Methanobrevibacter smithii TS95C	strain=TS95C		latest	Contig	Major	Full	2011/02/17	ASM19009v2	Washington University in St.Louis	GCF_000190095.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/190/095/GCA_000190095.2_ASM19009v2	
GCA_000190115.2	PRJNA59681	SAMN02436670	AEMA00000000.1	na	911132	2173	Methanobrevibacter smithii TS95D	strain=TS95D		latest	Contig	Major	Full	2011/02/17	ASM19011v2	Washington University in St.Louis	GCF_000190115.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/190/115/GCA_000190115.2_ASM19011v2	
GCA_000190135.2	PRJNA59683	SAMN02436671	AEMB00000000.1	na	911133	2173	Methanobrevibacter smithii TS96A	strain=TS96A		latest	Contig	Major	Full	2011/02/17	ASM19013v2	Washington University in St.Louis	GCF_000190135.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/190/135/GCA_000190135.2_ASM19013v2	
GCA_000190155.2	PRJNA59685	SAMN02436681	AEMC00000000.1	na	911134	2173	Methanobrevibacter smithii TS96B	strain=TS96B		latest	Contig	Major	Full	2011/02/17	ASM19015v2	Washington University in St.Louis	GCF_000190155.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/190/155/GCA_000190155.2_ASM19015v2	
GCA_000190175.2	PRJNA59687	SAMN02436672	AEMD00000000.1	na	911135	2173	Methanobrevibacter smithii TS96C	strain=TS96C		latest	Contig	Major	Full	2011/02/17	ASM19017v2	Washington University in St.Louis	GCF_000190175.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/190/175/GCA_000190175.2_ASM19017v2	
GCA_000824705.1	PRJEB6664	SAMEA2796325	CCXV00000000.1	na	2173	2173	Methanobrevibacter smithii	strain=ACE6		latest	Contig	Major	Full	2014/10/02	Methanobrevibacter smithii	URMITE	GCF_000824705.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/824/705/GCA_000824705.1_Methanobrevibacter_smithii	
GCA_000025865.1	PRJNA30711	SAMN02598474		representative genome	547558	2176	Methanohalophilus mahii DSM 5219	strain=DSM 5219		latest	Complete Genome	Major	Full	2010/03/31	ASM2586v1	US DOE Joint Genome Institute (JGI-PGF)	GCF_000025865.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/865/GCA_000025865.1_ASM2586v1	
GCA_001889405.1	PRJNA342410	SAMN05756399		na	2177	2177	Methanohalophilus halophilus	strain=Z-7982		latest	Complete Genome	Major	Full	2016/12/06	ASM188940v1	UBO	GCF_001889405.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/889/405/GCA_001889405.1_ASM188940v1	
GCA_900106905.1	PRJEB16588	SAMN04515625	FNMU00000000.1	na	2177	2177	Methanohalophilus halophilus	strain=Z-7982		latest	Contig	Major	Partial	2016/10/22	IMG-taxon 2642422606 annotated assembly	DOE - JOINT GENOME INSTITUTE	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/106/905/GCA_900106905.1_IMG-taxon_2642422606_annotated_assembly	partial
GCA_000166095.1	PRJNA33689	SAMN02232040		representative genome	523846	2180	Methanothermus fervidus DSM 2088	strain=DSM 2088		latest	Complete Genome	Major	Full	2010/11/05	ASM16609v1	US DOE Joint Genome Institute (JGI-PGF)	GCF_000166095.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/166/095/GCA_000166095.1_ASM16609v1	
GCA_000376965.1	PRJNA182394	SAMN02440415	AQXV00000000.1	representative genome	523845	2186	Methanothermococcus thermolithotrophicus DSM 2095	strain=DSM 2095		latest	Contig	Major	Full	2013/04/22	ASM37696v1	DOE Joint Genome Institute	GCF_000376965.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/376/965/GCA_000376965.1_ASM37696v1	
GCA_000017165.1	PRJNA17889	SAMN02598403		representative genome	406327	2187	Methanococcus vannielii SB	strain=SB		latest	Complete Genome	Major	Full	2007/06/29	ASM1716v1	US DOE Joint Genome Institute (JGI-PGF)	GCF_000017165.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/165/GCA_000017165.1_ASM1716v1	
GCA_000006175.2	PRJNA20131	SAMN00000040		representative genome	456320	2188	Methanococcus voltae A3	strain=A3		latest	Complete Genome	Major	Full	2010/06/03	ASM617v2	US DOE Joint Genome Institute (JGI-PGF)	GCF_000006175.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/175/GCA_000006175.2_ASM617v2	
GCA_000214415.1	PRJNA51821	SAMN00713627		representative genome	880724	2189	Methanotorris igneus Kol 5	strain=Kol 5		latest	Complete Genome	Major	Full	2011/05/23	ASM21441v1	US DOE Joint Genome Institute	GCF_000214415.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/214/415/GCA_000214415.1_ASM21441v1	
GCA_000091665.1	PRJNA102	SAMN02603984		na	243232	2190	Methanocaldococcus jannaschii DSM 2661	strain=DSM 2661		latest	Complete Genome	Major	Full	1999/12/22	ASM9166v1	TIGR	GCF_000091665.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/091/665/GCA_000091665.1_ASM9166v1	
GCA_001315945.1	PRJDB788	SAMD00000408	BBBG00000000.1	na	1293041	2197	Methanogenium cariaci JCM 10550	strain=JCM 10550		latest	Contig	Major	Full	2015/10/01	ASM131594v1	The University of Tokyo	GCF_001315945.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/315/945/GCA_001315945.1_ASM131594v1	
GCA_000015825.1	PRJNA16330	SAMN02598365		representative genome	368407	2198	Methanoculleus marisnigri JR1	strain=JR1		latest	Complete Genome	Major	Full	2007/02/16	ASM1582v1	DOE Joint Genome Institute	GCF_000015825.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/825/GCA_000015825.1_ASM1582v1	
GCA_001508665.1	PRJNA278302	SAMN03445185	LGHE00000000.1	na	2198	2198	Methanoculleus marisnigri		63_41	latest	Scaffold	Major	Full	2016/01/08	ASM150866v1	Lawrence Berkeley National Lab	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/508/665/GCA_001508665.1_ASM150866v1	derived from metagenome
GCA_001509255.1	PRJNA278302	SAMN03445157	LGGD00000000.1	na	2198	2198	Methanoculleus marisnigri		62_101	latest	Contig	Major	Full	2016/01/08	ASM150925v1	Lawrence Berkeley National Lab	na	na	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/509/255/GCA_001509255.1_ASM150925v1	derived from metagenome
GCA_001571405.1	PRJDB4448	SAMD00044722	BCNX00000000.1	na	2200	2200	Methanoculleus thermophilus	strain=CR-1		latest	Contig	Major	Full	2016/01/19	ASM157140v1	Bioproduction Research Institute, National Institute of Advanced Industrial Science and Technology (AIST)	GCF_001571405.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/571/405/GCA_001571405.1_ASM157140v1	
GCA_000275865.1	PRJNA52839	SAMN02256542	AGCO00000000.1	representative genome	28892	2201	Methanofollis liminatans DSM 4140	strain=DSM 4140		latest	Chromosome	Major	Full	2012/07/13	ASM27586v1	DOE Joint Genome Institute	GCF_000275865.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/275/865/GCA_000275865.1_ASM27586v1	
GCA_000013445.1	PRJNA13015	SAMN02598287		representative genome	323259	2203	Methanospirillum hungatei JF-1	strain=JF-1		latest	Complete Genome	Major	Full	2006/02/17	ASM1344v1	DOE Joint Genome Institute	GCF_000013445.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/445/GCA_000013445.1_ASM1344v1	
GCA_000711215.1	PRJNA223456	SAMN02745537	JOMF00000000.1	representative genome	694440	2205	Methanomicrobium mobile BP	strain=BP		latest	Contig	Major	Full	2014/06/24	ASM71121v1	DOE Joint Genome Institute	GCF_000711215.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/711/215/GCA_000711215.1_ASM71121v1	
GCA_000195895.1	PRJNA103	SAMN02598252		na	269797	2208	Methanosarcina barkeri str. Fusaro	strain=Fusaro		latest	Complete Genome	Major	Full	2005/08/12	ASM19589v1	DOE Joint Genome Institute	GCF_000195895.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/895/GCA_000195895.1_ASM19589v1	
GCA_000969985.1	PRJNA230940	SAMN03074576		na	1434109	2208	Methanosarcina barkeri str. Wiesmoor	strain=Wiesmoor		latest	Complete Genome	Major	Full	2015/04/07	ASM96998v1	University of Illinois at Urbana-Champaign	GCF_000969985.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/969/985/GCA_000969985.1_ASM96998v1	
GCA_000970025.1	PRJNA230939	SAMN03074575		representative genome	1434108	2208	Methanosarcina barkeri MS	strain=MS		latest	Complete Genome	Major	Full	2015/04/07	ASM97002v1	University of Illinois at Urbana-Champaign	GCF_000970025.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/025/GCA_000970025.1_ASM97002v1	
